run_id,condition_1,condition_2,condition_3,condition_4,condition_5
116,"(700.0, 2.0, 0.005, 10, 50.0)","(680.0, 1.8, 0.006, 8, 45.0)","(650.0, 1.6, 0.007, 6, 40.0)","(630.0, 1.5, 0.008, 5, 35.0)","(600.0, 1.0, 0.009, 4, 30.0)"
117,"(850.0, 3.0, 0.0001, 10, 100.0)","(800.0, 2.8, 0.00015, 8, 120.0)","(750.0, 2.5, 0.0002, 6, 140.0)","(700.0, 2.2, 0.00025, 5, 160.0)","(650.0, 2.0, 0.0003, 4, 180.0)"
118,"(750.0, 2.5, 0.01, 10, 50.0)","(725.0, 2.0, 0.015, 8, 60.0)","(700.0, 1.8, 0.02, 5, 70.0)","(680.0, 1.5, 0.025, 4, 80.0)","(650.0, 1.3, 0.03, 3, 90.0)"
120,"(800.0, 3.0, 0.01, 10, 50.0)","(750.0, 3.5, 0.005, 8, 60.0)","(700.0, 3.8, 0.002, 6, 70.0)","(650.0, 4.0, 0.01, 5, 80.0)","(600.0, 4.5, 0.05, 4, 90.0)"
121,"(750.0, 3.0, 0.02, 8, 50.0)","(700.0, 3.5, 0.015, 8, 45.0)","(650.0, 3.0, 0.1, 8, 40.0)","(600.0, 3.5, 0.05, 6, 35.0)","(550.0, 4.0, 0.02, 4, 30.0)"
122,"(850.0, 3.0, 0.001, 5, 100.0)","(800.0, 3.5, 0.01, 7, 90.0)","(750.0, 4.0, 0.1, 8, 80.0)","(700.0, 4.5, 1.0, 10, 70.0)","(650.0, 5.0, 1.0, 15, 60.0)"
123,"(650.0, 2.5, 0.005, 10, 100.0)","(620.0, 2.2, 0.002, 8, 80.0)","(600.0, 2.0, 0.01, 6, 60.0)","(580.0, 1.8, 0.003, 5, 50.0)","(550.0, 1.5, 0.004, 4, 40.0)"
124,"(750.0, 2.0, 0.01, 5, 50.0)","(700.0, 1.8, 0.015, 4, 60.0)","(650.0, 1.5, 0.02, 3, 70.0)","(600.0, 1.3, 0.025, 2, 80.0)","(550.0, 1.0, 0.03, 1, 90.0)"
125,"(750.0, 3.0, 0.001, 5, 50.0)","(700.0, 3.5, 0.002, 6, 60.0)","(650.0, 3.0, 0.003, 7, 70.0)","(600.0, 2.5, 0.004, 8, 80.0)","(550.0, 2.0, 0.005, 9, 90.0)"
126,"(700.0, 2.0, 0.01, 5, 50.0)","(680.0, 2.2, 0.012, 4, 55.0)","(650.0, 2.4, 0.015, 3, 60.0)","(630.0, 2.6, 0.018, 2, 65.0)","(600.0, 2.8, 0.02, 1, 70.0)"
127,"(700.0, 3.0, 0.002, 10, 80.0)","(680.0, 3.5, 0.004, 8, 100.0)","(650.0, 4.0, 0.006, 6, 120.0)","(620.0, 4.5, 0.008, 5, 150.0)","(600.0, 5.0, 0.01, 4, 200.0)"
128,"(850.0, 3.0, 0.005, 10, 80.0)","(800.0, 2.5, 0.008, 9, 75.0)","(750.0, 2.0, 0.01, 8, 70.0)","(700.0, 1.8, 0.015, 7, 65.0)","(650.0, 1.5, 0.02, 6, 60.0)"
129,"(700.0, 2.0, 0.05, 5, 50.0)","(650.0, 1.8, 0.04, 4, 60.0)","(600.0, 1.5, 0.03, 3, 70.0)","(550.0, 1.2, 0.02, 2, 80.0)","(500.0, 1.0, 0.01, 1, 90.0)"
130,"(750.0, 2.5, 0.05, 10, 100.0)","(700.0, 2.0, 0.04, 8, 120.0)","(650.0, 1.8, 0.03, 6, 150.0)","(600.0, 1.5, 0.02, 5, 200.0)","(550.0, 1.0, 0.01, 4, 250.0)"
131,"(800.0, 2.0, 0.001, 5, 100.0)","(750.0, 1.8, 0.002, 6, 120.0)","(700.0, 1.6, 0.003, 4, 140.0)","(650.0, 1.4, 0.004, 3, 160.0)","(600.0, 1.2, 0.005, 2, 180.0)"
132,"(800.0, 3.0, 0.001, 10, 200.0)","(780.0, 2.8, 0.0015, 9, 180.0)","(760.0, 2.5, 0.002, 8, 160.0)","(740.0, 2.3, 0.0025, 7, 140.0)","(720.0, 2.0, 0.003, 6, 120.0)"
133,"(700.0, 1.5, 0.003, 5, 100.0)","(720.0, 1.2, 0.002, 5, 95.0)","(750.0, 1.8, 0.004, 5, 110.0)","(780.0, 1.0, 0.001, 4, 80.0)","(800.0, 0.8, 0.0005, 3, 70.0)"
134,"(750.0, 1.5, 0.001, 5, 50.0)","(700.0, 1.8, 0.002, 4, 60.0)","(650.0, 2.0, 0.003, 3, 70.0)","(600.0, 2.2, 0.004, 2, 80.0)","(550.0, 2.5, 0.005, 1, 90.0)"
135,"(800.0, 3.0, 0.1, 5, 200.0)","(780.0, 2.8, 0.15, 5, 180.0)","(760.0, 2.6, 0.2, 5, 160.0)","(740.0, 2.4, 0.25, 5, 140.0)","(720.0, 2.2, 0.3, 5, 120.0)"
136,"(800.0, 2.0, 0.001, 10, 80.0)","(780.0, 2.2, 0.0012, 9, 90.0)","(760.0, 2.5, 0.0014, 8, 100.0)","(740.0, 2.8, 0.0016, 7, 110.0)","(720.0, 3.0, 0.0018, 6, 120.0)"
137,"(750.0, 3.0, 0.001, 10, 200.0)","(720.0, 2.5, 0.0015, 8, 180.0)","(690.0, 2.0, 0.002, 6, 160.0)","(660.0, 1.5, 0.0025, 4, 140.0)","(630.0, 1.0, 0.003, 2, 120.0)"
138,"(750.0, 2.5, 0.005, 5, 50.0)","(700.0, 2.3, 0.006, 4, 55.0)","(650.0, 2.0, 0.007, 3, 60.0)","(600.0, 1.8, 0.008, 2, 65.0)","(550.0, 1.5, 0.009, 1, 70.0)"
139,"(750.0, 3.0, 0.001, 10, 50.0)","(700.0, 2.8, 0.0015, 9, 60.0)","(650.0, 2.5, 0.002, 8, 70.0)","(600.0, 2.2, 0.0025, 7, 80.0)","(550.0, 2.0, 0.003, 6, 90.0)"
140,"(750.0, 1.0, 0.1, 5, 20.0)","(700.0, 1.2, 0.09, 6, 22.0)","(650.0, 1.4, 0.08, 7, 24.0)","(600.0, 1.6, 0.07, 8, 26.0)","(550.0, 1.8, 0.06, 9, 28.0)"
141,"(800.0, 3.0, 0.005, 10, 50.0)","(750.0, 2.8, 0.006, 9, 55.0)","(700.0, 2.5, 0.007, 8, 60.0)","(650.0, 2.2, 0.008, 7, 65.0)","(600.0, 2.0, 0.009, 6, 70.0)"
142,"(700.0, 1.5, 0.002, 10, 100.0)","(650.0, 2.0, 0.003, 8, 90.0)","(600.0, 1.0, 0.001, 5, 80.0)","(550.0, 1.8, 0.004, 3, 70.0)","(500.0, 2.5, 0.005, 2, 60.0)"
143,"(700.0, 2.0, 0.02, 10, 100.0)","(650.0, 1.8, 0.03, 8, 120.0)","(600.0, 1.5, 0.04, 6, 140.0)","(550.0, 1.3, 0.05, 4, 160.0)","(500.0, 1.0, 0.06, 2, 180.0)"
144,"(750.0, 2.5, 0.001, 10, 500.0)","(720.0, 2.3, 0.0012, 9, 400.0)","(700.0, 2.0, 0.0015, 8, 300.0)","(680.0, 1.8, 0.002, 7, 200.0)","(650.0, 1.5, 0.0025, 6, 100.0)"
145,"(700.0, 2.5, 0.001, 10, 50.0)","(650.0, 2.0, 0.0015, 8, 60.0)","(600.0, 1.8, 0.002, 6, 70.0)","(550.0, 1.5, 0.0025, 5, 80.0)","(500.0, 1.0, 0.003, 4, 90.0)"
146,"(650.0, 2.5, 0.005, 5, 50.0)","(630.0, 2.3, 0.006, 4, 60.0)","(610.0, 2.1, 0.007, 3, 70.0)","(590.0, 1.9, 0.008, 2, 80.0)","(570.0, 1.7, 0.009, 1, 90.0)"
147,"(700.0, 2.5, 0.001, 10, 50.0)","(680.0, 2.3, 0.0012, 9, 60.0)","(650.0, 2.0, 0.0015, 8, 70.0)","(630.0, 1.8, 0.002, 7, 80.0)","(600.0, 1.6, 0.0025, 6, 90.0)"
149,"(750.0, 2.0, 0.0001, 1, 50.0)","(700.0, 2.5, 0.00015, 2, 60.0)","(650.0, 1.8, 0.0002, 3, 70.0)","(600.0, 1.5, 0.00025, 4, 80.0)","(550.0, 1.2, 0.0003, 5, 90.0)"
150,"(750.0, 2.5, 0.005, 10, 100.0)","(720.0, 2.0, 0.003, 8, 80.0)","(680.0, 1.8, 0.002, 6, 60.0)","(650.0, 1.5, 0.001, 4, 40.0)","(620.0, 1.2, 0.0008, 2, 20.0)"
151,"(800.0, 3.0, 0.0001, 10, 100.0)","(780.0, 2.8, 0.0002, 8, 90.0)","(760.0, 2.5, 0.0003, 6, 80.0)","(740.0, 2.2, 0.0004, 4, 70.0)","(720.0, 2.0, 0.0005, 2, 60.0)"
152,"(750.0, 3.0, 0.0005, 10, 100.0)","(700.0, 2.5, 0.001, 8, 90.0)","(650.0, 2.0, 0.002, 6, 80.0)","(600.0, 1.5, 0.003, 4, 70.0)","(550.0, 1.0, 0.004, 2, 60.0)"
153,"(750.0, 2.5, 0.005, 10, 100.0)","(700.0, 2.0, 0.01, 8, 120.0)","(650.0, 1.8, 0.02, 6, 140.0)","(600.0, 1.5, 0.03, 4, 160.0)","(550.0, 1.2, 0.04, 2, 180.0)"
154,"(700.0, 2.0, 0.001, 5, 100.0)","(680.0, 1.8, 0.002, 4, 90.0)","(660.0, 1.6, 0.003, 3, 80.0)","(640.0, 1.4, 0.004, 2, 70.0)","(620.0, 1.2, 0.005, 1, 60.0)"
155,"(850.0, 3.0, 0.01, 10, 50.0)","(800.0, 2.5, 0.01, 8, 60.0)","(750.0, 2.0, 0.1, 6, 70.0)","(700.0, 1.5, 0.005, 4, 80.0)","(650.0, 1.0, 0.001, 2, 90.0)"
156,"(750.0, 2.5, 0.005, 10, 100.0)","(700.0, 2.0, 0.006, 8, 80.0)","(650.0, 1.8, 0.007, 6, 60.0)","(600.0, 1.5, 0.008, 4, 40.0)","(550.0, 1.0, 0.009, 2, 20.0)"
157,"(850.0, 2.5, 0.005, 8, 80.0)","(800.0, 2.2, 0.004, 7, 85.0)","(750.0, 2.0, 0.003, 6, 90.0)","(700.0, 1.8, 0.002, 5, 95.0)","(650.0, 1.5, 0.001, 4, 100.0)"
158,"(800.0, 3.0, 0.01, 10, 100.0)","(780.0, 2.5, 0.015, 8, 80.0)","(760.0, 2.0, 0.02, 6, 60.0)","(740.0, 1.5, 0.025, 4, 40.0)","(720.0, 1.0, 0.03, 2, 20.0)"
159,"(850.0, 3.5, 0.0002, 10, 30.0)","(800.0, 3.0, 0.0003, 9, 35.0)","(750.0, 2.5, 0.0004, 8, 40.0)","(700.0, 2.0, 0.0005, 7, 45.0)","(650.0, 1.5, 0.0006, 6, 50.0)"
160,"(750.0, 3.0, 0.001, 10, 100.0)","(720.0, 2.8, 0.002, 8, 120.0)","(700.0, 2.5, 0.003, 6, 140.0)","(680.0, 2.2, 0.004, 4, 160.0)","(650.0, 2.0, 0.005, 2, 180.0)"
161,"(850.0, 2.5, 0.001, 10, 50.0)","(800.0, 2.0, 0.0005, 8, 100.0)","(750.0, 1.8, 0.002, 6, 200.0)","(700.0, 1.5, 0.003, 4, 300.0)","(650.0, 1.2, 0.004, 2, 400.0)"
162,"(800.0, 3.0, 0.005, 10, 100.0)","(750.0, 2.5, 0.004, 8, 90.0)","(700.0, 2.0, 0.003, 6, 80.0)","(650.0, 1.5, 0.002, 4, 70.0)","(600.0, 1.0, 0.001, 2, 60.0)"
163,"(750.0, 2.5, 0.001, 10, 50.0)","(725.0, 2.0, 0.0015, 8, 60.0)","(700.0, 1.8, 0.002, 6, 70.0)","(675.0, 1.5, 0.0025, 4, 80.0)","(650.0, 1.3, 0.003, 2, 90.0)"
164,"(850.0, 3.0, 0.005, 10, 150.0)","(800.0, 3.5, 0.008, 8, 130.0)","(750.0, 4.0, 0.01, 6, 110.0)","(700.0, 4.5, 0.01, 12, 90.0)","(650.0, 5.0, 0.012, 15, 70.0)"
165,"(850.0, 2.0, 0.02, 10, 50.0)","(800.0, 1.8, 0.015, 8, 60.0)","(750.0, 1.5, 0.01, 6, 70.0)","(700.0, 1.3, 0.005, 4, 80.0)","(650.0, 1.0, 0.002, 2, 90.0)"
166,"(800.0, 2.5, 0.001, 5, 50.0)","(750.0, 2.0, 0.002, 4, 60.0)","(700.0, 1.5, 0.003, 3, 70.0)","(650.0, 1.2, 0.004, 2, 80.0)","(600.0, 1.0, 0.005, 1, 90.0)"
167,"(750.0, 2.0, 5e-05, 5, 50.0)","(700.0, 1.8, 0.0001, 4, 55.0)","(650.0, 1.5, 0.0002, 3, 60.0)","(600.0, 1.3, 0.0003, 2, 65.0)","(550.0, 1.0, 0.0004, 1, 70.0)"
168,"(850.0, 2.5, 0.0001, 10, 100.0)","(800.0, 2.0, 0.0002, 8, 80.0)","(750.0, 1.8, 0.0003, 7, 70.0)","(700.0, 1.5, 0.0004, 6, 60.0)","(650.0, 1.0, 0.0005, 5, 50.0)"
169,"(700.0, 2.5, 0.003, 10, 15.0)","(650.0, 2.0, 0.002, 8, 12.0)","(600.0, 1.8, 0.004, 6, 10.0)","(550.0, 1.5, 0.005, 5, 8.0)","(500.0, 1.0, 0.006, 4, 5.0)"
171,"(750.0, 3.0, 0.001, 10, 30.0)","(700.0, 2.5, 0.0005, 8, 40.0)","(650.0, 2.0, 0.001, 6, 50.0)","(600.0, 1.8, 0.0005, 4, 60.0)","(550.0, 1.5, 0.001, 2, 70.0)"
172,"(850.0, 3.0, 0.02, 10, 100.0)","(800.0, 2.8, 0.015, 9, 95.0)","(750.0, 2.5, 0.01, 8, 90.0)","(700.0, 2.2, 0.005, 7, 85.0)","(650.0, 2.0, 0.003, 6, 80.0)"
173,"(850.0, 3.0, 0.001, 10, 200.0)","(800.0, 2.5, 0.005, 9, 180.0)","(750.0, 2.0, 0.01, 8, 160.0)","(700.0, 1.8, 0.02, 7, 140.0)","(650.0, 1.5, 0.03, 6, 120.0)"
174,"(750.0, 2.5, 0.01, 10, 50.0)","(700.0, 2.0, 0.02, 8, 60.0)","(650.0, 1.8, 0.03, 6, 70.0)","(600.0, 1.5, 0.04, 4, 80.0)","(550.0, 1.2, 0.05, 2, 90.0)"
175,"(800.0, 2.0, 0.001, 10, 50.0)","(780.0, 1.8, 0.002, 8, 60.0)","(760.0, 1.6, 0.003, 6, 70.0)","(740.0, 1.4, 0.004, 4, 80.0)","(720.0, 1.2, 0.005, 2, 90.0)"
176,"(750.0, 2.5, 0.001, 10, 200.0)","(720.0, 2.2, 0.0015, 8, 200.0)","(680.0, 1.9, 0.002, 6, 220.0)","(650.0, 1.7, 0.0025, 4, 250.0)","(600.0, 1.5, 0.003, 2, 300.0)"
177,"(800.0, 3.5, 0.001, 10, 100.0)","(750.0, 3.0, 0.002, 8, 90.0)","(700.0, 2.5, 0.003, 6, 90.0)","(650.0, 2.0, 0.004, 5, 100.0)","(600.0, 1.5, 0.005, 4, 120.0)"
178,"(850.0, 3.5, 0.1, 10, 200.0)","(800.0, 3.0, 0.08, 8, 180.0)","(750.0, 2.5, 0.06, 6, 160.0)","(700.0, 2.0, 0.04, 4, 140.0)","(650.0, 1.5, 0.02, 2, 120.0)"
179,"(850.0, 3.5, 5e-05, 10, 100.0)","(800.0, 3.0, 0.0001, 8, 120.0)","(750.0, 2.5, 0.0002, 6, 150.0)","(700.0, 2.0, 0.0003, 4, 180.0)","(650.0, 1.5, 0.0004, 2, 200.0)"
180,"(800.0, 3.0, 0.1, 5, 50.0)","(750.0, 2.5, 0.05, 4, 60.0)","(700.0, 2.0, 0.1, 3, 70.0)","(650.0, 1.5, 0.2, 2, 80.0)","(600.0, 1.0, 0.3, 1, 90.0)"
181,"(750.0, 1.5, 0.005, 5, 50.0)","(720.0, 1.8, 0.004, 6, 60.0)","(700.0, 2.0, 0.003, 7, 70.0)","(680.0, 2.2, 0.002, 8, 80.0)","(650.0, 2.5, 0.001, 9, 90.0)"
182,"(700.0, 2.0, 0.01, 5, 50.0)","(680.0, 1.8, 0.02, 4, 60.0)","(650.0, 1.5, 0.03, 3, 70.0)","(600.0, 1.3, 0.04, 2, 80.0)","(550.0, 1.0, 0.05, 1, 90.0)"
183,"(800.0, 3.0, 0.0005, 10, 150.0)","(780.0, 3.5, 0.0006, 9, 140.0)","(750.0, 2.8, 0.0007, 8, 130.0)","(720.0, 2.5, 0.0008, 7, 120.0)","(700.0, 2.0, 0.0009, 6, 110.0)"
184,"(750.0, 2.5, 0.001, 5, 100.0)","(700.0, 2.3, 0.0015, 4, 95.0)","(650.0, 2.0, 0.002, 3, 90.0)","(600.0, 1.8, 0.0025, 2, 85.0)","(550.0, 1.5, 0.003, 1, 80.0)"
185,"(750.0, 3.5, 0.005, 15, 100.0)","(700.0, 3.0, 0.004, 12, 120.0)","(650.0, 2.5, 0.003, 10, 140.0)","(600.0, 2.0, 0.002, 8, 160.0)","(550.0, 1.5, 0.001, 6, 180.0)"
186,"(750.0, 2.5, 0.005, 10, 100.0)","(700.0, 2.0, 0.005, 8, 90.0)","(650.0, 1.8, 0.005, 6, 80.0)","(600.0, 1.5, 0.005, 4, 70.0)","(550.0, 1.0, 0.005, 2, 60.0)"
187,"(750.0, 2.5, 0.001, 5, 50.0)","(725.0, 2.2, 0.0015, 4, 60.0)","(700.0, 2.0, 0.002, 3, 70.0)","(675.0, 1.8, 0.0025, 2, 80.0)","(650.0, 1.5, 0.003, 1, 90.0)"
188,"(750.0, 2.5, 0.002, 10, 100.0)","(700.0, 2.0, 0.003, 8, 120.0)","(650.0, 1.8, 0.004, 6, 140.0)","(600.0, 1.5, 0.005, 4, 160.0)","(550.0, 1.0, 0.006, 2, 180.0)"
189,"(800.0, 2.5, 0.005, 10, 200.0)","(750.0, 2.0, 0.0025, 8, 180.0)","(700.0, 1.8, 0.0015, 6, 150.0)","(650.0, 1.5, 0.001, 5, 120.0)","(600.0, 1.3, 0.0005, 3, 100.0)"
190,"(700.0, 2.0, 0.01, 5, 50.0)","(680.0, 2.5, 0.005, 4, 60.0)","(650.0, 3.0, 0.1, 3, 70.0)","(620.0, 3.5, 0.2, 2, 80.0)","(550.0, 4.0, 0.3, 1, 90.0)"
191,"(850.0, 3.0, 0.001, 10, 100.0)","(800.0, 2.5, 0.0015, 8, 90.0)","(750.0, 2.0, 0.002, 6, 80.0)","(700.0, 1.8, 0.003, 5, 70.0)","(650.0, 1.5, 0.004, 4, 60.0)"
192,"(700.0, 3.5, 0.01, 10, 100.0)","(680.0, 3.0, 0.015, 8, 80.0)","(660.0, 2.5, 0.02, 6, 70.0)","(640.0, 2.0, 0.025, 4, 60.0)","(620.0, 1.5, 0.03, 2, 50.0)"
193,"(750.0, 2.5, 0.005, 3, 100.0)","(700.0, 2.0, 0.008, 4, 120.0)","(650.0, 1.8, 0.01, 5, 150.0)","(600.0, 1.5, 0.02, 6, 180.0)","(550.0, 1.0, 0.03, 7, 200.0)"
194,"(700.0, 2.0, 0.01, 5, 100.0)","(650.0, 1.8, 0.02, 4, 90.0)","(600.0, 1.6, 0.03, 3, 80.0)","(550.0, 1.4, 0.04, 2, 70.0)","(500.0, 1.2, 0.05, 1, 60.0)"
195,"(750.0, 2.0, 0.01, 10, 50.0)","(720.0, 2.5, 0.005, 8, 60.0)","(700.0, 1.8, 0.008, 7, 70.0)","(680.0, 1.5, 0.012, 6, 80.0)","(650.0, 0.5, 0.02, 5, 90.0)"
196,"(800.0, 2.0, 0.005, 10, 50.0)","(780.0, 1.8, 0.006, 9, 60.0)","(760.0, 1.6, 0.007, 8, 70.0)","(740.0, 1.4, 0.008, 7, 80.0)","(720.0, 1.2, 0.009, 6, 90.0)"
197,"(800.0, 3.5, 0.0005, 5, 100.0)","(780.0, 3.0, 0.001, 4, 95.0)","(760.0, 2.5, 0.0015, 3, 90.0)","(740.0, 2.0, 0.002, 2, 85.0)","(720.0, 1.5, 0.003, 1, 80.0)"
198,"(750.0, 1.8, 0.01, 5, 150.0)","(730.0, 1.6, 0.008, 4, 120.0)","(710.0, 1.5, 0.007, 4, 100.0)","(680.0, 1.4, 0.006, 3, 90.0)","(660.0, 1.3, 0.005, 2, 80.0)"
199,"(750.0, 1.5, 0.02, 5, 50.0)","(700.0, 2.0, 0.025, 4, 60.0)","(650.0, 2.5, 0.03, 3, 70.0)","(600.0, 3.0, 0.04, 2, 80.0)","(550.0, 3.5, 0.05, 1, 90.0)"
200,"(850.0, 2.5, 0.01, 10, 100.0)","(800.0, 2.0, 0.015, 8, 120.0)","(750.0, 1.8, 0.02, 6, 150.0)","(700.0, 1.5, 0.03, 5, 200.0)","(650.0, 1.2, 0.04, 4, 250.0)"
201,"(800.0, 3.0, 0.005, 10, 100.0)","(780.0, 2.8, 0.004, 9, 95.0)","(760.0, 2.5, 0.003, 8, 90.0)","(740.0, 2.2, 0.002, 7, 85.0)","(720.0, 2.0, 0.001, 6, 80.0)"
202,"(750.0, 1.5, 0.01, 10, 50.0)","(720.0, 1.6, 0.012, 8, 60.0)","(690.0, 1.4, 0.015, 6, 70.0)","(660.0, 1.3, 0.018, 4, 80.0)","(630.0, 1.2, 0.02, 2, 90.0)"
203,"(750.0, 1.8, 0.002, 5, 100.0)","(720.0, 2.0, 0.003, 5, 90.0)","(690.0, 2.2, 0.004, 4, 80.0)","(660.0, 2.4, 0.005, 4, 70.0)","(630.0, 2.6, 0.006, 3, 60.0)"
204,"(800.0, 2.5, 0.001, 10, 200.0)","(750.0, 3.0, 0.005, 10, 250.0)","(700.0, 2.8, 0.01, 8, 300.0)","(650.0, 2.3, 0.015, 7, 350.0)","(600.0, 2.0, 0.02, 6, 400.0)"
205,"(850.0, 3.5, 0.005, 10, 300.0)","(800.0, 3.0, 0.006, 8, 400.0)","(750.0, 2.5, 0.007, 6, 500.0)","(700.0, 2.0, 0.008, 4, 450.0)","(650.0, 1.5, 0.009, 2, 500.0)"
206,"(800.0, 2.0, 0.01, 5, 50.0)","(780.0, 1.8, 0.015, 4, 60.0)","(760.0, 1.6, 0.02, 3, 70.0)","(740.0, 1.4, 0.025, 2, 80.0)","(720.0, 1.2, 0.03, 1, 90.0)"
207,"(850.0, 3.0, 0.005, 10, 150.0)","(800.0, 2.5, 0.006, 8, 140.0)","(750.0, 2.0, 0.007, 6, 130.0)","(700.0, 1.8, 0.008, 4, 120.0)","(650.0, 1.5, 0.009, 2, 110.0)"
208,"(750.0, 2.5, 0.01, 5, 50.0)","(700.0, 2.2, 0.015, 4, 60.0)","(650.0, 2.0, 0.02, 3, 70.0)","(600.0, 1.8, 0.025, 2, 80.0)","(550.0, 1.5, 0.03, 1, 90.0)"
209,"(800.0, 3.0, 0.5, 10, 50.0)","(780.0, 2.8, 0.4, 9, 60.0)","(760.0, 2.6, 0.3, 8, 70.0)","(740.0, 2.4, 0.2, 7, 80.0)","(720.0, 2.2, 0.1, 6, 90.0)"
210,"(800.0, 2.5, 0.1, 10, 100.0)","(750.0, 2.0, 0.01, 7, 80.0)","(700.0, 1.8, 0.02, 5, 60.0)","(650.0, 1.5, 0.03, 3, 50.0)","(600.0, 1.3, 0.04, 2, 40.0)"
211,"(750.0, 1.8, 0.02, 5, 50.0)","(700.0, 1.5, 0.03, 4, 60.0)","(650.0, 1.3, 0.04, 3, 70.0)","(600.0, 1.1, 0.05, 2, 80.0)","(550.0, 0.9, 0.06, 1, 90.0)"
212,"(750.0, 2.0, 0.01, 5, 50.0)","(720.0, 1.8, 0.015, 4, 60.0)","(690.0, 1.6, 0.02, 3, 70.0)","(660.0, 1.4, 0.025, 2, 80.0)","(630.0, 1.2, 0.03, 1, 90.0)"
213,"(800.0, 3.0, 0.005, 10, 200.0)","(780.0, 2.8, 0.006, 9, 190.0)","(760.0, 2.6, 0.007, 8, 180.0)","(740.0, 2.4, 0.008, 7, 170.0)","(720.0, 2.2, 0.009, 6, 160.0)"
214,"(700.0, 2.0, 0.002, 5, 50.0)","(680.0, 1.8, 0.003, 4, 60.0)","(650.0, 1.5, 0.004, 3, 70.0)","(600.0, 1.3, 0.005, 2, 80.0)","(550.0, 1.0, 0.006, 1, 90.0)"
215,"(750.0, 2.5, 0.0001, 10, 30.0)","(700.0, 2.0, 0.0002, 8, 40.0)","(650.0, 1.8, 0.0003, 6, 50.0)","(600.0, 1.5, 0.0004, 4, 60.0)","(550.0, 1.0, 0.0005, 2, 70.0)"
216,"(750.0, 2.5, 0.01, 10, 30.0)","(700.0, 2.0, 0.05, 8, 50.0)","(650.0, 1.8, 0.1, 6, 80.0)","(600.0, 1.5, 0.2, 4, 100.0)","(550.0, 1.2, 0.5, 2, 150.0)"
217,"(800.0, 2.5, 0.005, 10, 200.0)","(780.0, 2.2, 0.004, 8, 180.0)","(760.0, 2.0, 0.003, 6, 160.0)","(740.0, 1.8, 0.002, 5, 140.0)","(720.0, 1.6, 0.01, 3, 120.0)"
218,"(750.0, 3.0, 0.001, 10, 200.0)","(700.0, 2.5, 0.002, 10, 150.0)","(650.0, 2.0, 0.003, 10, 100.0)","(600.0, 1.8, 0.004, 8, 75.0)","(550.0, 1.5, 0.005, 5, 50.0)"
219,"(800.0, 3.0, 0.001, 10, 200.0)","(780.0, 2.5, 0.0015, 8, 180.0)","(760.0, 2.0, 0.002, 6, 160.0)","(740.0, 1.5, 0.0025, 4, 140.0)","(720.0, 1.0, 0.003, 2, 120.0)"
220,"(800.0, 2.5, 0.02, 10, 100.0)","(780.0, 2.4, 0.015, 9, 95.0)","(750.0, 2.3, 0.01, 8, 90.0)","(730.0, 2.2, 0.005, 7, 85.0)","(700.0, 2.1, 0.002, 6, 80.0)"
221,"(800.0, 3.0, 0.0005, 10, 100.0)","(750.0, 2.5, 0.0008, 8, 90.0)","(700.0, 2.0, 0.001, 6, 80.0)","(650.0, 1.8, 0.0012, 4, 70.0)","(600.0, 1.5, 0.0015, 2, 60.0)"
222,"(850.0, 3.5, 0.005, 10, 150.0)","(800.0, 3.0, 0.006, 8, 180.0)","(750.0, 2.5, 0.007, 6, 200.0)","(700.0, 2.0, 0.008, 4, 220.0)","(650.0, 1.5, 0.009, 2, 100.0)"
223,"(850.0, 2.5, 0.0001, 5, 100.0)","(800.0, 2.0, 0.0002, 6, 120.0)","(750.0, 1.8, 0.0003, 7, 150.0)","(700.0, 1.5, 0.0004, 8, 200.0)","(650.0, 1.2, 0.0005, 9, 250.0)"
224,"(800.0, 4.0, 0.001, 10, 100.0)","(750.0, 3.5, 0.0015, 10, 80.0)","(700.0, 3.0, 0.002, 8, 60.0)","(650.0, 2.5, 0.003, 6, 40.0)","(600.0, 2.0, 0.005, 4, 20.0)"
225,"(750.0, 2.0, 0.0001, 10, 100.0)","(700.0, 1.8, 0.0002, 8, 120.0)","(650.0, 1.5, 0.0003, 6, 140.0)","(600.0, 1.3, 0.0004, 4, 160.0)","(550.0, 1.0, 0.0005, 1, 180.0)"
226,"(750.0, 3.0, 0.001, 10, 100.0)","(700.0, 2.8, 0.002, 9, 95.0)","(650.0, 2.6, 0.003, 8, 90.0)","(600.0, 2.4, 0.004, 7, 85.0)","(550.0, 2.2, 0.005, 6, 80.0)"
227,"(750.0, 2.0, 0.01, 10, 100.0)","(700.0, 1.8, 0.002, 8, 90.0)","(650.0, 1.6, 0.0003, 6, 80.0)","(600.0, 1.4, 4e-05, 4, 70.0)","(550.0, 1.2, 5e-05, 2, 60.0)"
228,"(750.0, 2.0, 0.01, 5, 50.0)","(720.0, 1.8, 0.02, 5, 60.0)","(700.0, 1.5, 0.03, 4, 70.0)","(680.0, 1.3, 0.04, 3, 80.0)","(650.0, 1.0, 0.05, 2, 90.0)"
230,"(700.0, 2.5, 0.0005, 3, 50.0)","(650.0, 2.0, 0.0006, 4, 60.0)","(600.0, 1.8, 0.0007, 5, 70.0)","(550.0, 1.5, 0.0008, 6, 80.0)","(500.0, 1.0, 0.0009, 7, 90.0)"
